Аудиодорожки,Субтитры,Качество видео,Год производства,Страна,Жанр,Слоган,Режиссер,Сценарий,Продюсер,Оператор,Композитор,Художник,Монтаж,Бюджет,Маркетинг,Сборы в США,Сборы в мире,Зрители,Премьера в Росcии,Премьера в мире,Релиз на DVD,Возраст,Рейтинг MPAA,Время,Название фильма,Актеры,Оценка фильма,Релиз на Blu-ray,Сборы в России,Ре-релиз (РФ),Цифровой релиз,Директор фильма,4K доступно только на больших экранах,Платформа
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Английские']",[],['1955'],['США'],"['мультфильм, мюзикл, мелодрама, комедия, приключения, семейный']","[""«The most delightful characters in a dog's age!»""]","['Клайд Джероними, Уилфред Джексон, Хэмильтон Ласки, ...']","['Джо Грант, Дик Хюмер, Луис Поллок, ...']","['Уолт Дисней, Эрдман Пеннер']",,['Оливер Уоллес'],,['Дональд Холлидэй'],['$4 000 000'],,['$93 602 326'],,['55.7 млн'],,"['16 июня 1955, ...']","['12 марта 2003, «DVD Магия»']",['0+'],['G'],['76 мин. / 01:16'],"['Леди и бродяга (1955)', 'Lady and the Tramp0+']","['Пегги Ли', 'Ларри Робертс', 'Билл Бауком', 'Верна Фелтон', 'Джордж Гивот', 'Ли Миллар', 'Барбара Ладди', 'Билл Томпсон', 'Стэн Фреберг', 'Алан Рид']",['8.2'],"['7 февраля 2012, «Уолт Дисней Компани СНГ»']",,,,,,
['Русский'],['Нет'],,['1987'],['СССР'],"['драма, криминал, боевик, триллер']",['—'],['Александр Прошкин'],['Эдгар Дубровский'],,['Борис Брожовский'],['Владимир Мартынов'],"['Валерий Филиппов, Наталья Александрова']",['Елена Михайлова'],,,,,['41.8 млн'],,"['6 января 1988, ...']","['4 декабря 2003, «Ruscico»']",['16+'],,['102 мин. / 01:42'],"['Холодное лето пятьдесят третьего... (1987)', '16+']","['Валерий Приёмыхов', 'Анатолий Папанов', 'Виктор Степанов', 'Нина Усатова', 'Зоя Буряк', 'Юрий Кузнецов', 'Владимир Кашпур', 'Сергей Власов', 'Борис Плотников', 'Виктор Косых']",['8.1'],,,,,['Константин Стенькин'],,
"['Русский, Английский']","['Русские, Английские']",[],['1997'],['США'],"['мультфильм, мюзикл, фэнтези, драма, приключения, семейный']",['«Discover the Adventure Behind the Greatest Mystery of Our Time»'],"['Дон Блут, Гари Голдман']","['Сьюзэн Готье, Брюс Грэхэм, Боб Цудикер, ...']","['Дон Блут, Гари Голдман, Морин Донли, ...']",,['Дэвид Ньюман'],['Майкл Перраса мл.'],"['Боб Бендер, Фиона Трэйлер']",['$53 000 000'],,['$58 406 347'],['+ $81 398 001 = $139 804 348'],['12.5 млн'],"['13 марта 1998, «Гемини Киномир»']","['14 ноября 1997, ...']","['15 июня 2004, «Гемини-Фильм»']",['6+'],['G'],['94 мин. / 01:34'],"['Анастасия (1997)', 'Anastasia6+']","['Мег Райан', 'Джон Кьюсак', 'Келси Грэммер', 'Кристофер Ллойд', 'Хэнк Азария', 'Бернадетт Питерс', 'Кирстен Данст', 'Анджела Лэнсбери', 'Рик Джонс', 'Андреа Мартин']",['8.1'],"['7 апреля 2011, «Двадцатый Век Фокс СНГ»']",,,,,,
,,,['1966'],"['Италия, Испания, Германия (ФРГ)']","['приключения, вестерн']","['«Для этих трех мужчин гражданская война - не ад, для них она - учебка!»']",['Серджио Леоне'],"['Адженоре Инкроччи, Фурио Скарпелли, Лучиано Винчензони, ...']",['Альберто Гримальди'],['Тонино Делли Колли'],['Эннио Морриконе'],['Карло Сими'],"['Эудженио Алабисо, Нино Баральи']",['$1 200 000'],,['$25 100 000'],['+ $18 063 = $25 118 063'],['6.3 млн'],,"['23 декабря 1966, ...']","['14 января 2002, «DVD Магия»']",['16+'],['R'],['178 мин. / 02:58'],"['Хороший, плохой, злой (1966)', 'Il buono, il brutto, il cattivo16+']","['Клинт Иствуд', 'Ли Ван Клиф', 'Илай Уоллак', 'Альдо Джуффре', 'Луиджи Пистилли', 'Рада Рассимов', 'Энцо Петито', 'Клаудио Скаркилли', 'Джон Барта', 'Ливио Лоренцон']",['8.5'],"['5 июня 2014, «Двадцатый Век Фокс СНГ»']",,,,,,
"['Русский, Русский 5.1, Английский']","['Русские, Английские']",[],['2009'],['США'],"['мультфильм, драма, комедия, приключения, семейный']","['«Когда проблемы тянут ко дну, смотри вверх!»']","['Пит Доктер, Боб Питерсон']","['Пит Доктер, Боб Питерсон, Том Маккарти']","['Джонас Ривера, Джон Лассетер, Кори Рэй, ...']",,['Майкл Джаккино'],"['Рики Ниерва, Даниэль Лопес Муньос']",['Кевин Нолтинг'],['$175 000 000'],,['$293 004 164'],['+ $442 094 918 = $735 099 082'],['39.1 млн'],"['28 мая 2009, «BVSPR Disney»']","['13 мая 2009, ...']","['19 ноября 2009, «Уолт Дисней Компани СНГ»']",['0+'],['PG'],['96 мин. / 01:36'],"['Вверх (2009)', 'Up0+']","['Эдвард Эснер', 'Кристофер Пламмер', 'Джордан Нагаи', 'Боб Питерсон', 'Делрой Линдо', 'Джером Рэнфт', 'Джон Ратценбергер', 'Дэвид Кэй', 'Эли Доктер', 'Джереми Лири']",['8.0'],"['19 ноября 2009, «Уолт Дисней Компани СНГ»']",['$11 997 927'],,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']","['Русские, Английские']",[],['1961'],['США'],"['мультфильм, семейный, приключения']",['«One great big ONEderful motion picture»'],"['Клайд Джероними, Хэмильтон Ласки, Вольфганг Райтерман']","['Билл Пит, Доди Смит']",['Уолт Дисней'],,['Джордж Брунс'],['Кен Андерсон'],"['Рой М. Брюэр мл., Дональд Холлидэй']",['$4 000 000'],,['$14 000 000'],['+ $71 000 000 = $85 000 000'],['99.9 млн'],,"['25 января 1961, ...']","['18 декабря 2008, «Мьюзик-Трейд»']",['0+'],['G'],['79 мин. / 01:19'],"['101 далматинец (1961)', 'One Hundred and One Dalmatians0+']","['Род Тейлор', 'Дж. Пэт О’Мэлли', 'Бетти Лу Джерсон', 'Марта Вентуорф', 'Бен Райт', 'Кейт Бауэр', 'Дэвид Фрэнкхэм', 'Фредерик Уорлок', 'Лиза Дэвис', 'Том Конуэй']",['8.0'],"['9 апреля 2013, «Уолт Дисней Компани СНГ»']",,,,,,
"['Русский, Русский 5.1, Английский, Английский 5.1']",['Русские'],[],['2016'],"['Австралия, Великобритания, США, Индия']","['драма, биография']",['«The search begins»'],['Гарт Дэвис'],"['Люк Дейвис, Сару Брайерли']","['Харви Вайнштейн, Эмиль Шерман, Эйн Каннинг, ...']",['Грег Фрейзер'],"['Фолькер Бертельман, Дастин О’Хэллоран']","['Крис Кеннеди, Джени Паркер, Рави Шривастав, ...']",['Александр де Франчески'],['$12 000 000'],,['$51 738 905'],['+ $88 574 023 = $140 312 928'],,"['16 февраля 2017, «Capella Film»']","['10 сентября 2016, ...']","['15 мая 2017, «НД Плэй»']",['16+'],['PG-13'],['118 мин. / 01:58'],"['Лев (2016)', 'Lion16+']","['Дев Патель', 'Николь Кидман', 'Руни Мара', 'Дэвид Уэнэм', 'Санни Павар', 'Абхишек Бхарате', 'Приянка Бозе', 'Кхуши Соланки', 'Шанкар Нисоде', 'Танништа Чаттерджи']",['7.9'],"['15 мая 2017, «НД Плэй»']",['$331 850'],,"['16 марта 2017, «Capella Film»']",,,
"['Русский, Английский']","['Русские, Английские']",,['1999'],"['Германия, США']","['фантастика, драма, комедия']","[""«One robot's 200 year journey to become an ordinary man»""]",['Крис Коламбус'],"['Николас Казан, Айзек Азимов, Роберт Сильверберг']","['Майкл Барнатан, Крис Коламбус, Гэйл Кац, ...']",['Фил Мейхью'],['Джеймс Хорнер'],"['Норман Рейнольдс, Уильям Хайни, Брутон Джонс, ...']","['Николас Де То, Нил Трэвис']",['$100 000 000'],,['$58 223 861'],['+ $29 200 000 = $87 423 861'],['11.2 млн'],"['6 апреля 2000, «Каскад фильм»']","['13 декабря 1999, ...']","['27 июля 2000, «Columbia/Sony»']",['6+'],['PG'],['126 мин. / 02:06'],"['Двухсотлетний человек (1999)', 'Bicentennial Man6+']","['Робин Уильямс', 'Эмбет Дэвидц', 'Сэм Нил', 'Оливер Платт', 'Кирстен Уоррен', 'Венди Крюсон', 'Халли Кейт Айзенберг', 'Линдзи Летерман', 'Анджела Лэндис', 'Джон Майкл Хиггинс']",['8.0'],,,,,,,
"['Русский, Русский 5.1, Английский']",['Русские'],[],['2005'],"['Великобритания, Франция, США']","['драма, мелодрама']","[""«Sometimes the last person on earth you want to be with is the one person you can't be without»""]",['Джо Райт'],"['Дебора Моггак, Джейн Остин, Эмма Томпсон']","['Тим Беван, Лиза Чейсин, Эрик Феллнер, ...']",['Роман Осин'],['Дарио Марианелли'],"['Сара Гринвуд, Иэн Бэйли, Ник Готтшалк, ...']",['Пол Тотхилл'],['$28 000 000'],,['$38 405 088'],['+ $81 786 680 = $120 191 768'],['6 млн'],"['12 января 2006, «UIP»']","['25 июля 2005, ...']","['23 июля 2012, «Новый Диск»']",['0+'],['PG'],['129 мин. / 02:09'],"['Гордость и предубеждение (2005)', 'Pride & Prejudice0+']","['Кира Найтли', 'Мэттью Макфэдиен', 'Розамунд Пайк', 'Саймон Вудс', 'Дональд Сазерленд', 'Бренда Блетин', 'Джена Мэлоун', 'Кэри Маллиган', 'Талула Райли', 'Том Холландер']",['8.0'],,['$844 000'],,,,,
"['Русский, Английский']","['Русские, Английские']",[],['2002'],['США'],"['мультфильм, фантастика, фэнтези, драма, комедия, приключения, семейный']","[""«He's coming to our galaxy»""]","['Дин ДеБлуа, Крис Сандерс']","['Крис Сандерс, Дин ДеБлуа']","['Кларк Спенсер, Лиза М. Пул']",,['Алан Сильвестри'],"['Пол А. Феликс, Рик Слуйтер']",['Даррен Т. Холмс'],['$80 000 000'],['$40 000 000'],['$145 794 338'],['+ $127 349 813 = $273 144 151'],['25.1 млн'],"['26 декабря 2002, «Каскад фильм»']","['16 июня 2002, ...']","['3 августа 2009, «CP-Digital»']",['0+'],['PG'],['85 мин. / 01:25'],"['Лило и Стич (2002)', 'Lilo & Stitch0+']","['Дэйви Чейз', 'Крис Сандерс', 'Тиа Каррере', 'Дэвид Огден Стайерз', 'Кевин Макдональд', 'Винг Реймз', 'Зои Колдуэлл', 'Джейсон Скотт Ли', 'Кевин Майкл Ричардсон', 'Сьюзэн Хегарти']",['7.8'],"['11 июня 2013, «Уолт Дисней Компани СНГ»']",,,,,,
